ID,DataType,Sector,Exposure_Time,FFI_Avail,SPOC_Avail,source_id,phot_g_mean_mag,phot_rp_mean_mag,parallax,radius,radius+,radius-,distance_pc,color
4654435618927743872,SPOC,28.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,30.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,29.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,27.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,31.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,38.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,39.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,36.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,37.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,35.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,34.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,36.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,35.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,37.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,34.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,38.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,39.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,68.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,67.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,66.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,65.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,69.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,63.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,62.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,61.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,64.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,87.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,87.0,120.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,96.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,95.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,94.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,93.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,90.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,89.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
4654435618927743872,SPOC,88.0,20.0,True,True,4654435618927743872,14.809174537658691,13.405598640441896,60.57096730403526,0.1367686139958341,0.0105034338393223,0.0090818557642721,16.509559686912574,1.403575897216795
